March,,,,,,,,,,,,,,,,,,,,,,,,,
Data' Post,Link' Post,Type Of Content,Mykyta Business,,,,,,Data' Post,Link' Post,Type Of Content,Mykyta Personal,,,,,,Data' Post,Link' Post,Type Of Content,Company Page,,,,
02.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_partnership-leadership-wellnesstech-activity-7445364456056066048-0e9l?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,253,4,2,-,-,,02.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_building-wellness-products-forces-you-to-activity-7445371979286605825-vbkn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,266,10,2,-,2,,02.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7445360679953338368,LI Team Post,45,2,-,-,-
06.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_leadership-wellness-entrepreneurship-activity-7446806438100000768-T-xF?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,95,4,-,-,-,,06.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_one-of-our-early-ideas-looked-perfect-on-activity-7446806425177149440-K6FG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,173,8,-,-,1,,06.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7446802628681912320,LI Useful Post,61,2,-,-,-
07.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_the-best-business-habit-ive-built-this-year-activity-7447180118063681536-md7x?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,120,7,2,-,1,,07.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_we-once-removed-a-feature-we-spent-weeks-activity-7447176389373505536-cWYc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Company Post,265,8,3,-,-,,07.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7447172617129652224,LI Useful Post,62,2,-,-,-
09.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_the-diary-of-a-ceo-the-33-laws-of-business-activity-7447882299687288833-r0La?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Knowledge,81,4,-,-,-,,09.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_hiring-for-a-wellness-company-is-very-different-activity-7447874698253766656-jpBB?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,347,6,-,-,-,,09.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7447878494262431744,LI Useful Post,31,1,-,-,-
13.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_my-notes-app-is-chaotic-random-ideas-activity-7449335574303232000-1Fz2?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,115,3,-,-,-,,13.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_some-of-the-most-important-decisions-ive-activity-7449335686731554816-UIVD?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,175,3,-,-,-,,13.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7449331805339402240,LI Company Post,57,2,-,-,-
14.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_theres-a-specific-moment-in-product-work-activity-7449350714432090112-Z5Lt?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,96,2,-,-,-,,14.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_when-you-build-for-mental-health-engagement-activity-7449867830109442052-whqX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Knowledge,242,10,-,-,-,,14.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7449713166818623488,LI Useful Post,42,2,-,-,-
16.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_sometimes-my-best-strategic-thinking-happens-activity-7450434050823012352-wCPr?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,183,2,-,-,1,,21.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_wellness-tech-is-growing-fast-but-not-all-activity-7452408334432862208-ByjF?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Company Post,184,5,-,-,-,,16.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7450434088420798464,LI Team Post,59,1,-,-,-
21.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_empathy-is-a-new-metric-activity-7452253599889334272-g8A9?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Knowledge,180,3,-,-,-,,22.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_why-trust-is-the-core-product-activity-7452623494145638400-PCZv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,244,3,-,-,-,,21.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7452250266281746432,LI Case Post,77,3,-,-,-
22.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_a-team-that-genuinely-cares-can-move-faster-activity-7452736741339275265-IbkL?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,88,2,-,-,-,,23.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_i-didnt-expect-overthinking-to-become-part-activity-7452963265938087936-9IU1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,121,7,-,-,-,,22.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7452604663218163712,LI Company Post,78,2,-,-,-
23.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_trust-in-healthtech-saas-activity-7452963223231709184-4r0f?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,101,1,-,-,-,,28.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_i-didnt-understand-what-wellness-really-activity-7454778960221138944-y75Q?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,162,5,5,-,-,,23.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7453102947208540160,LI Useful Post,73,2,-,-,-
28.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_what-users-actually-want-from-wellness-apps-activity-7454778941275430913-bomH?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Knowledge,133,2,-,-,-,,29.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_a-quick-mvp-in-wellness-saas-or-healthtech-activity-7455149530045427712-e2Rf?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Knowledge,151,6,-,-,-,,28.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7454794112073101312,LI Case Post,38,-,-,-,-
29.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_culture-isnt-defined-in-decks-or-mission-activity-7455152720233029632-QtYx?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,89,-,-,-,-,,30.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_anyone-else-or-just-me-activity-7455522585808760832-8ekd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Company Post,395,5,-,-,-,,29.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7455133779444289536,LI Company Post,52,2,-,-,-
30.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_inmycorner-case-study-activity-7455496262864257024-_Fei?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,125,-,-,-,-,,,,,,,,,,,30.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7455526642459869184,LI Company Post,67,1,-,-,-
